model,slug,scenario,input_size,main,n_folds,n_per_fold,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std
EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,5,36,0.9944444444444445,0.012422599874998837,0.9944347826086956,0.012444204396520586,0.9948717948717949,0.01146701526922965,0.9944444444444445,0.012422599874998837
EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,5,36,0.9722222222222221,0.019641855032959663,0.9721155366372758,0.019779372185889977,0.9750915750915752,0.016865735433291316,0.9722222222222221,0.01964185503295962
EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,5,180,0.9377777777777778,0.020184335693983275,0.9370685188727587,0.02080445409007828,0.9444158144870636,0.015397529221536314,0.9377777777777776,0.02018433569398332
EfficientNet-B0,efficientnetb0,RR + HoleAlign,224 x 224,True,5,180,0.9855555555555556,0.006334307917217464,0.9854745846801668,0.006393478025742463,0.9859669445073994,0.006040518086962707,0.9855555555555556,0.0063343079172174105
MobileNet-V2,mobilenetv2,Original Test,224 x 224,True,5,36,0.9666666666666666,0.04564354645876386,0.9660124223602484,0.04699475915282746,0.973076923076923,0.03404081550603015,0.9666666666666666,0.04564354645876386
MobileNet-V2,mobilenetv2,HoleAlign Test,224 x 224,True,5,36,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.9897435897435898,0.014044168141158055,0.9888888888888889,0.015214515486254621
MobileNet-V2,mobilenetv2,Original RR,224 x 224,True,5,180,0.8655555555555555,0.025579698740491867,0.86552890181945,0.025312346706198533,0.8925888597321361,0.015149292825707589,0.8655555555555555,0.025579698740491805
MobileNet-V2,mobilenetv2,RR + HoleAlign,224 x 224,True,5,180,0.9922222222222222,0.012171612389003694,0.9921596971626482,0.012299095207221045,0.9925243215565797,0.011673897998024861,0.9922222222222222,0.012171612389003694
Inception-V3,inceptionv3,Original Test,299 x 299,False,5,36,0.9888888888888889,0.015214515486254621,0.9888695652173913,0.015240975513187252,0.9897435897435898,0.014044168141158055,0.9888888888888889,0.015214515486254621
Inception-V3,inceptionv3,HoleAlign Test,299 x 299,False,5,36,0.9833333333333334,0.015214515486254621,0.9833043478260869,0.015240975513187252,0.9846153846153847,0.014044168141158055,0.9833333333333334,0.015214515486254621
Inception-V3,inceptionv3,Original RR,299 x 299,False,5,180,0.5122222222222221,0.020563061692579716,0.46555511541640227,0.02891752914241408,0.7592295755694555,0.021824870641948477,0.5122222222222222,0.020563061692579706
Inception-V3,inceptionv3,RR + HoleAlign,299 x 299,False,5,180,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
