n,accuracy,macro_precision,macro_recall,macro_f1,model,slug,scenario,input_size,main,fold
36,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,HoleAlign Test,224 x 224,True,fold_5
180,0.8166666666666667,0.8692362218678008,0.8166666666666668,0.8107012223141256,DenseNet-201,densenet201,Original RR,224 x 224,True,fold_1
180,0.8388888888888889,0.8641074611662848,0.8388888888888889,0.8281266007171212,DenseNet-201,densenet201,Original RR,224 x 224,True,fold_2
180,0.8444444444444444,0.8738995443856555,0.8444444444444444,0.8347606031780436,DenseNet-201,densenet201,Original RR,224 x 224,True,fold_3
180,0.8888888888888888,0.8966915532132923,0.8888888888888888,0.8849267872523686,DenseNet-201,densenet201,Original RR,224 x 224,True,fold_4
180,0.8555555555555555,0.8805555555555555,0.8555555555555556,0.8517460317460318,DenseNet-201,densenet201,Original RR,224 x 224,True,fold_5
180,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,RR + HoleAlign,224 x 224,True,fold_1
180,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,RR + HoleAlign,224 x 224,True,fold_2
180,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,RR + HoleAlign,224 x 224,True,fold_3
180,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,RR + HoleAlign,224 x 224,True,fold_4
180,1.0,1.0,1.0,1.0,DenseNet-201,densenet201,RR + HoleAlign,224 x 224,True,fold_5
36,1.0,1.0,1.0,1.0,EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,fold_1
36,1.0,1.0,1.0,1.0,EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,fold_2
36,1.0,1.0,1.0,1.0,EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,fold_4
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,EfficientNet-B0,efficientnetb0,Original Test,224 x 224,True,fold_5
36,0.9444444444444444,0.9523809523809524,0.9444444444444445,0.9440559440559442,EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,fold_1
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,fold_2
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,fold_3
36,1.0,1.0,1.0,1.0,EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,fold_4
36,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9721739130434782,EfficientNet-B0,efficientnetb0,HoleAlign Test,224 x 224,True,fold_5
180,0.9166666666666666,0.9272581353589375,0.9166666666666666,0.9151626717472087,EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,fold_1
180,0.9277777777777778,0.9368592507425505,0.9277777777777777,0.9271657679109181,EfficientNet-B0,efficientnetb0,Original RR,224 x 224,True,fold_2
